index,Time,NOR Speed,PIA Speed,VER Speed
448,0 days 00:00:40.258000,NaN,NaN,270.0
449,0 days 00:00:40.390000,NaN,270.0,NaN
450,0 days 00:00:40.499000,NaN,NaN,272.0
451,0 days 00:00:40.607000,272.0,NaN,NaN
452,0 days 00:00:40.630000,NaN,274.0,NaN
453,0 days 00:00:40.658000,NaN,NaN,274.0
454,0 days 00:00:40.870000,NaN,273.0,NaN
455,0 days 00:00:40.927000,246.0,NaN,NaN
456,0 days 00:00:41.110000,NaN,245.0,NaN
457,0 days 00:00:41.207000,220.0,NaN,NaN
458,0 days 00:00:41.310000,NaN,227.0,NaN
459,0 days 00:00:41.447000,210.0,NaN,NaN
460,0 days 00:00:41.470000,NaN,222.0,NaN
461,0 days 00:00:41.619000,NaN,NaN,199.0
462,0 days 00:00:41.648000,204.0,NaN,NaN
463,0 days 00:00:41.670000,NaN,211.0,NaN
464,0 days 00:00:41.807000,202.0,NaN,NaN
465,0 days 00:00:41.938000,NaN,NaN,192.0
466,0 days 00:00:42.030000,NaN,202.0,NaN
467,0 days 00:00:42.047000,197.0,NaN,NaN
468,0 days 00:00:42.098000,NaN,NaN,190.0
469,0 days 00:00:42.190000,NaN,197.0,NaN
470,0 days 00:00:42.247000,196.0,NaN,NaN
471,0 days 00:00:42.297000,NaN,NaN,193.0
472,0 days 00:00:42.407000,194.0,NaN,NaN
473,0 days 00:00:42.431000,NaN,195.0,NaN
474,0 days 00:00:42.617000,NaN,NaN,197.0
475,0 days 00:00:42.630000,NaN,196.0,NaN
476,0 days 00:00:42.647000,199.0,NaN,NaN
477,0 days 00:00:42.910000,NaN,205.0,NaN
478,0 days 00:00:43.008000,210.0,NaN,NaN
479,0 days 00:00:43.018000,NaN,NaN,210.0
480,0 days 00:00:43.191000,NaN,213.0,NaN
481,0 days 00:00:43.218000,NaN,NaN,215.0
482,0 days 00:00:43.247000,215.0,NaN,NaN
483,0 days 00:00:43.377000,NaN,NaN,221.0
484,0 days 00:00:43.429000,NaN,221.0,NaN
485,0 days 00:00:43.527000,223.0,NaN,NaN
486,0 days 00:00:43.618000,NaN,NaN,226.0
487,0 days 00:00:43.629000,NaN,227.0,NaN
488,0 days 00:00:43.727000,229.0,NaN,NaN
489,0 days 00:00:43.778000,NaN,NaN,232.0
490,0 days 00:00:43.830000,NaN,232.0,NaN
491,0 days 00:00:43.937000,NaN,NaN,232.0
492,0 days 00:00:44.087000,240.0,NaN,NaN
493,0 days 00:00:44.138000,NaN,NaN,240.0
494,0 days 00:00:44.189000,NaN,239.0,NaN
495,0 days 00:00:44.326000,243.0,NaN,NaN
496,0 days 00:00:44.378000,NaN,NaN,248.0
497,0 days 00:00:44.469000,NaN,247.0,NaN
498,0 days 00:00:44.618000,NaN,NaN,252.0
499,0 days 00:00:44.647000,250.0,NaN,NaN
500,0 days 00:00:44.777000,NaN,NaN,257.0
501,0 days 00:00:44.830000,NaN,256.0,NaN
502,0 days 00:00:44.846000,256.0,NaN,NaN
503,0 days 00:00:44.938000,NaN,NaN,259.0
504,0 days 00:00:45.007000,259.0,NaN,NaN
505,0 days 00:00:45.069000,NaN,260.0,NaN
506,0 days 00:00:45.258000,NaN,NaN,267.0
507,0 days 00:00:45.269000,NaN,262.0,NaN
508,0 days 00:00:45.366000,265.0,NaN,NaN
509,0 days 00:00:45.510000,NaN,270.0,NaN
510,0 days 00:00:45.686000,275.0,NaN,NaN
511,0 days 00:00:45.738000,NaN,NaN,273.0
512,0 days 00:00:45.750000,NaN,274.0,NaN
